"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jan 21 11:37:31 GMT 2024","Sun Jan 21 11:37:32 GMT 2024","1611","Command line suite","Command line test","test.runner.TestRunner","test.runner.TestRunner","runScenario","Runs Cucumber Scenarios",""
"passed","Sun Jan 21 11:37:33 GMT 2024","Sun Jan 21 11:37:33 GMT 2024","277","Command line suite","Command line test","test.runner.TestRunner","test.runner.TestRunner","runScenario","Runs Cucumber Scenarios",""
"passed","Sun Jan 21 11:37:33 GMT 2024","Sun Jan 21 11:37:33 GMT 2024","155","Command line suite","Command line test","test.runner.TestRunner","test.runner.TestRunner","runScenario","Runs Cucumber Scenarios",""
