"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jan 21 10:20:40 GMT 2024","Sun Jan 21 10:20:41 GMT 2024","1349","Command line suite","Command line test","test.runner.TestRunner","test.runner.TestRunner","runScenario","Runs Cucumber Scenarios",""
"passed","Sun Jan 21 10:20:41 GMT 2024","Sun Jan 21 10:20:41 GMT 2024","74","Command line suite","Command line test","test.runner.TestRunner","test.runner.TestRunner","runScenario","Runs Cucumber Scenarios",""
"passed","Sun Jan 21 10:20:41 GMT 2024","Sun Jan 21 10:20:41 GMT 2024","103","Command line suite","Command line test","test.runner.TestRunner","test.runner.TestRunner","runScenario","Runs Cucumber Scenarios",""
