"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jan 21 08:02:52 GMT 2024","Sun Jan 21 08:02:52 GMT 2024","405","Command line suite","Command line test","test.runner.TestRunner","test.runner.TestRunner","runScenario","Runs Cucumber Scenarios",""
"passed","Sun Jan 21 08:02:49 GMT 2024","Sun Jan 21 08:02:51 GMT 2024","2044","Command line suite","Command line test","test.runner.TestRunner","test.runner.TestRunner","runScenario","Runs Cucumber Scenarios",""
"passed","Sun Jan 21 08:02:51 GMT 2024","Sun Jan 21 08:02:52 GMT 2024","768","Command line suite","Command line test","test.runner.TestRunner","test.runner.TestRunner","runScenario","Runs Cucumber Scenarios",""
