"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jan 21 07:02:32 GMT 2024","Sun Jan 21 07:02:34 GMT 2024","1607","Command line suite","Command line test","test.runner.TestRunner","test.runner.TestRunner","runScenario","Runs Cucumber Scenarios",""
"passed","Sun Jan 21 07:02:29 GMT 2024","Sun Jan 21 07:02:32 GMT 2024","3534","Command line suite","Command line test","test.runner.TestRunner","test.runner.TestRunner","runScenario","Runs Cucumber Scenarios",""
"passed","Sun Jan 21 10:04:14 GMT 2024","Sun Jan 21 10:04:15 GMT 2024","141","Command line suite","Command line test","test.runner.TestRunner","test.runner.TestRunner","runScenario","Runs Cucumber Scenarios",""
"passed","Sun Jan 21 10:04:15 GMT 2024","Sun Jan 21 10:04:15 GMT 2024","82","Command line suite","Command line test","test.runner.TestRunner","test.runner.TestRunner","runScenario","Runs Cucumber Scenarios",""
"passed","Sun Jan 21 10:04:13 GMT 2024","Sun Jan 21 10:04:14 GMT 2024","1479","Command line suite","Command line test","test.runner.TestRunner","test.runner.TestRunner","runScenario","Runs Cucumber Scenarios",""
