"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jan 21 07:55:15 GMT 2024","Sun Jan 21 07:55:17 GMT 2024","2132","Command line suite","Command line test","test.runner.TestRunner","test.runner.TestRunner","runScenario","Runs Cucumber Scenarios",""
"passed","Sun Jan 21 07:55:17 GMT 2024","Sun Jan 21 07:55:18 GMT 2024","737","Command line suite","Command line test","test.runner.TestRunner","test.runner.TestRunner","runScenario","Runs Cucumber Scenarios",""
"passed","Sun Jan 21 07:55:18 GMT 2024","Sun Jan 21 07:55:18 GMT 2024","378","Command line suite","Command line test","test.runner.TestRunner","test.runner.TestRunner","runScenario","Runs Cucumber Scenarios",""
